0000912893,CENTERPOINT PROPERTIES TRUST,IL
0000786714,CENTRAL REALTY INVESTORS INC,FL
0000798288,Centro NP LLC,NY
0001158265,CENTRO SATURN MERGERSUB LLC.,PA
0000018914,CENTURY REALTY TRUST,IN
0001562457,"CERBERUS MORTGAGE CAPITAL, INC.",NY
0001209709,CERES TACTICAL SYSTEMATIC L.P.,NY
0001051491,CHASTAIN CAPITAL CORP,GA
0000912393,CHATEAU COMMUNITIES INC,CO
0001476045,Chatham Lodging Trust,FL
0000911215,CHELSEA PROPERTY GROUP INC,NJ
0001571776,Cherry Hill Mortgage Investment Corp,NJ
0001473078,Chesapeake Lodging Trust,VA
0000774658,CHICAGO DOCK & CANAL TRUST,IL
0001409493,CHIMERA INVESTMENT CORP,NY
0001073012,CHRYSSON PAUL G,NC
0000908311,CIM Commercial Trust Corp,TX
0001498542,"CIM INCOME NAV, INC.",AZ
0001593222,"City Office REIT, Inc.",A1
0001056880,CLARION COMMERCIAL HOLDINGS INC,NY
0001476886,Clarion Partners Property Trust Inc.,NY
0001490985,"Clearview Hotel Trust, Inc.",CA
0000020975,CLEVETRUST REALTY INVESTORS,OH
0000020199,CLI Capital,TX
0001649096,Clipper Realty Inc.,NY
0001451319,"CM REIT, Inc.",NV
0001452168,"CNL Growth Properties, Inc.",FL
0001648383,"CNL Healthcare Properties II, Inc.",FL
0001496454,"CNL Healthcare Properties, Inc.",FL
0001261159,CNL LIFESTYLE PROPERTIES INC,FL
0001055264,CNL RETIREMENT PROPERTIES INC,FL
0001289272,Cole Credit Property Trust Inc,AZ
0001498547,"COLE CREDIT PROPERTY TRUST IV, INC.",AZ
0001580988,"Cole Credit Property Trust V, Inc.",AZ
0001572758,"Cole Office & Industrial REIT (CCIT II), Inc.",AZ
0001614976,"Cole Office & Industrial REIT (CCIT III), Inc.",AZ
0001425923,"Cole Real Estate Investments, Inc.",AZ
0000909111,COLONIAL PROPERTIES TRUST,AL
0001013844,COLONIAL REALTY LIMITED PARTNERSHIP,AL
0001564515,"Colony American Homes, Inc.",CA
0001467076,"Colony Capital, Inc.",CA
0001679688,"Colony Capital, Inc.",CA
0001717547,"Colony Credit Real Estate, Inc.",CA
0001316710,"Columbia Equity Trust, Inc.",DC
0000701286,COLUMBIA FUTURES FUND,NY
0001525703,"COLUMBIA PROPERTY TRUST OPERATING PARTNERSHIP, L.P.",GA
0001252849,"COLUMBIA PROPERTY TRUST, INC.",GA
0000779608,COLUMBIA REAL ESTATE INVESTMENTS INC,MD
0000913602,COLUMBUS REALTY TRUST,TX
0000910675,COMMERCIAL ASSETS INC,CO
0000810387,COMMONWEALTH GROWTH FUND II,CA
0001631569,Community Healthcare Trust Inc,TN
0000929545,"CONDOR HOSPITALITY TRUST, INC.",MD
0000719184,CONSOLIDATED CAPITAL INSTITUTIONAL PROPERTIES 2,SC
0000768890,CONSOLIDATED CAPITAL INSTITUTIONAL PROPERTIES 3,SC
0000317331,CONSOLIDATED CAPITAL PROPERTIES III,SC
0000355804,CONSOLIDATED CAPITAL PROPERTIES IV,CO
0000725614,CONSOLIDATED CAPITAL PROPERTIES V,SC
0000319416,CONTINENTAL MORTGAGE & EQUITY TRUST,TX
0001038901,COOPER WILLIAM A,
0000769017,COPLEY PROPERTIES INC,MA
0001070985,"CoreCivic, Inc.",TN
0001347652,"CorEnergy Infrastructure Trust, Inc.",MO
0001707178,CorePoint Lodging Inc.,TX
0001490892,CoreSite Realty Corp,CO
0001180944,CORNERSTONE INCOME FUND INC,WA
0000854875,CORNERSTONE REALTY INCOME TRUST INC,VA
0000860546,CORPORATE OFFICE PROPERTIES TRUST,MD
0001577966,"Corporate Office Properties, L.P.",MD
0000912046,CORPORATE PROPERTY ASSOCIATES 12 INC,NY
0001041326,CORPORATE PROPERTY ASSOCIATES 14 INC,NY
0001138301,CORPORATE PROPERTY ASSOCIATES 15 INC,NY
0001390213,Corporate Property Associates 17 - Global INC,NY
0001558235,CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC,NY
0001672895,CORPORATE PROPERTY ASSOCIATES 19 - GLOBAL Inc,NY
0000853075,CORPORATE REALTY INCOME TRUST I,NY
0001692951,"Cottonwood Communities, Inc.",UT
0001680657,"Cottonwood Multifamily Opportunity Fund, Inc.",UT
0001646910,"COTTONWOOD MULTIFAMILY REIT I, INC.",UT
0001677881,"COTTONWOOD MULTIFAMILY REIT II, INC.",UT
